player_id,first_name,last_name,display_name,short_name,country,country_flag,amateur,position,total,total_sort,thru,score,score_sort,current_round,player_state,tee_time,course_id,group_number,back_nine,movement_direction,movement_amount,total_strokes,official,projected,round_1,round_2,round_3,round_4
23108,Matt,Kuchar,Matt Kuchar,M. Kuchar,USA,USA,False,T15,-14,-14.0,F,-4,-4.0,4.0,COMPLETE,,669,20.0,False,UP,4,270,141,131,72,66,65,67
32102,Rickie,Fowler,Rickie Fowler,R. Fowler,USA,USA,False,T15,-14,-14.0,F,-3,-3.0,4.0,COMPLETE,,669,23.0,False,DOWN,-3,270,33,28,70,69,63,68
57900,Chandler,Phillips,Chandler Phillips,C. Phillips,USA,USA,False,T15,-14,-14.0,F,-2,-2.0,4.0,COMPLETE,,669,25.0,False,DOWN,-7,270,114,106,69,67,65,69
66416,Preston,Stout,Preston Stout,P. Stout,USA,USA,True,T15,-14,-14.0,F,-2,-2.0,4.0,COMPLETE,,669,25.0,False,DOWN,-7,270,-,-,66,69,66,69
33597,Harry,Higgs,Harry Higgs,H. Higgs,USA,USA,False,T21,-13,-13.0,F,-4,-4.0,4.0,COMPLETE,,669,16.0,False,UP,6,271,190,173,67,68,69,67
54591,Ben,Griffin,Ben Griffin,B. Griffin,USA,USA,False,T21,-13,-13.0,F,-4,-4.0,4.0,COMPLETE,,669,16.0,False,UP,6,271,31,31,69,65,70,67
37338,Zecheng,Dou,Zecheng Dou,Z. Dou,CHN,CHN,False,T21,-13,-13.0,F,-4,-4.0,4.0,COMPLETE,,669,18.0,False,UP,6,271,117,111,67,69,68,67
36326,David,Lipsky,David Lipsky,D. Lipsky,USA,USA,False,T21,-13,-13.0,F,-3,-3.0,4.0,COMPLETE,,669,19.0,False,DOWN,-2,271,74,71,67,65,71,68
32640,Troy,Merritt,Troy Merritt,T. Merritt,USA,USA,False,T21,-13,-13.0,F,-2,-2.0,4.0,COMPLETE,,669,22.0,False,DOWN,-9,271,196,178,66,66,70,69
33141,Keegan,Bradley,Keegan Bradley,K. Bradley,USA,USA,False,T26,-12,-12.0,F,-7,-7.0,4.0,COMPLETE,,669,7.0,False,UP,29,272,69,69,70,69,69,64
60004,Jacob,Bridgeman,Jacob Bridgeman,J. Bridgeman,USA,USA,False,T26,-12,-12.0,F,-4,-4.0,4.0,COMPLETE,,669,15.0,False,UP,11,272,11,12,67,70,68,67
58168,Davis,Thompson,Davis Thompson,D. Thompson,USA,USA,False,T26,-12,-12.0,F,-3,-3.0,4.0,COMPLETE,,669,17.0,False,UP,1,272,93,94,69,69,66,68
55851,Pontus,Nyholm,Pontus Nyholm,P. Nyholm,SWE,SWE,False,T26,-12,-12.0,F,-2,-2.0,4.0,COMPLETE,,669,20.0,False,DOWN,-7,272,129,127,68,66,69,69
40006,Erik,van Rooyen,Erik van Rooyen,E. van Rooyen,RSA,RSA,False,T26,-12,-12.0,F,-2,-2.0,4.0,COMPLETE,,669,20.0,False,DOWN,-7,272,137,133,70,69,64,69
31646,Emiliano,Grillo,Emiliano Grillo,E. Grillo,ARG,ARG,False,T26,-12,-12.0,F,-2,-2.0,4.0,COMPLETE,,669,21.0,False,DOWN,-7,272,105,103,70,66,67,69
63121,William,Mouw,William Mouw,W. Mouw,USA,USA,False,T26,-12,-12.0,F,-1,-1.0,4.0,COMPLETE,,669,22.0,False,DOWN,-14,272,107,105,66,68,68,70
48887,Matt,Wallace,Matt Wallace,M. Wallace,ENG,ENG,False,T33,-11,-11.0,F,-6,-6.0,4.0,COMPLETE,,669,8.0,False,UP,22,273,86,86,67,71,70,65
61522,Michael,Brennan,Michael Brennan,M. Brennan,USA,USA,False,T33,-11,-11.0,F,-4,-4.0,4.0,COMPLETE,,669,12.0,False,UP,11,273,102,102,66,68,72,67
59866,Nick,Dunlap,Nick Dunlap,N. Dunlap,USA,USA,False,T33,-11,-11.0,F,-4,-4.0,4.0,COMPLETE,,669,12.0,False,UP,11,273,171,163,67,72,67,67
